ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,missadelyn,MoonRunes,Mr Lasastryke,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
45,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,27,22,49,5,Granblue Fantasy - New World Order,,,,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,,,Granblue Fantasy - New World Order,,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,,,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,,Granblue Fantasy - New World Order,,,Granblue Fantasy - New World Order,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,Nier: Automata - Amusement Park,,Nier: Automata - Amusement Park,Granblue Fantasy - New World Order,Granblue Fantasy - New World Order,Nier: Automata - Amusement Park,
46,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,28,24,52,4,Idola Phantasy Star Saga - Endeavour,,Shin Megami Tensei IV - B2 Battle,,,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,,,Shin Megami Tensei IV - B2 Battle,,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,,,Shin Megami Tensei IV - B2 Battle,Shin Megami Tensei IV - B2 Battle,Shin Megami Tensei IV - B2 Battle,,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,,,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,Shin Megami Tensei IV - B2 Battle,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,,Shin Megami Tensei IV - B2 Battle,,,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,Shin Megami Tensei IV - B2 Battle,Shin Megami Tensei IV - B2 Battle,Shin Megami Tensei IV - B2 Battle,,Idola Phantasy Star Saga - Endeavour,Idola Phantasy Star Saga - Endeavour,Shin Megami Tensei IV - B2 Battle,,
47,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,35,18,53,17,War of Brains - FEEL the POWER in YOUR SOUL,,War of Brains - FEEL the POWER in YOUR SOUL,,,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,,Last Ninja 2 - Central Park,,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,,,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,,,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,War of Brains - FEEL the POWER in YOUR SOUL,,,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,War of Brains - FEEL the POWER in YOUR SOUL,,War of Brains - FEEL the POWER in YOUR SOUL,Last Ninja 2 - Central Park,War of Brains - FEEL the POWER in YOUR SOUL,,
48,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,40,12,52,28,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,,,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,Beatmania IIDX 21 Spada - Dark Legacy,,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,Beatmania IIDX 21 Spada - Dark Legacy,,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,The Legend of Heroes: Trails in the Sky FC - Whereabouts of Light,Beatmania IIDX 21 Spada - Dark Legacy,,
49,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,28,20,48,8,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,,,Chaos;Head - Desire Blue Sky,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,,,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,Chaos;Head - Desire Blue Sky,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,,,,,Chaos;Head - Desire Blue Sky,,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,Mr. Driller: Drill Land - Heading Back to Town,,Mr. Driller: Drill Land - Heading Back to Town,Chaos;Head - Desire Blue Sky,Mr. Driller: Drill Land - Heading Back to Town,,Chaos;Head - Desire Blue Sky,Chaos;Head - Desire Blue Sky,,,
50,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,32,18,50,14,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,,,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,,,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,,,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,,,,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",Final Fantasy Crystal Chronicles - Sound of the Wind,Final Fantasy Crystal Chronicles - Sound of the Wind,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,"Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke","Touhou 8: Imperishable Night - Reach for the Moon, Immortal Smoke",,Final Fantasy Crystal Chronicles - Sound of the Wind,
51,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,28,21,49,7,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Persona 5 - Rivers in the Desert,Persona 5 - Rivers in the Desert,,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Persona 5 - Rivers in the Desert,Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,,Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,,Persona 5 - Rivers in the Desert,Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Persona 5 - Rivers in the Desert,Terraria Calamity Mod - 1NF3S+@+!0N (Theme of Crabulon),,Persona 5 - Rivers in the Desert,
52,Celeste - Confronting Myself,Freedom Planet - Thermal Base 1,32,17,49,15,Celeste - Confronting Myself,,,,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,,Celeste - Confronting Myself,Celeste - Confronting Myself,,,Freedom Planet - Thermal Base 1,,Celeste - Confronting Myself,Celeste - Confronting Myself,,,Celeste - Confronting Myself,,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,Celeste - Confronting Myself,,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,,Celeste - Confronting Myself,Celeste - Confronting Myself,,Celeste - Confronting Myself,Celeste - Confronting Myself,,,,Celeste - Confronting Myself,Freedom Planet - Thermal Base 1,,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,Freedom Planet - Thermal Base 1,,Celeste - Confronting Myself,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,Celeste - Confronting Myself,,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,Celeste - Confronting Myself,,,Celeste - Confronting Myself,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,Celeste - Confronting Myself,,,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Celeste - Confronting Myself,,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,Freedom Planet - Thermal Base 1,,
53,Skygunner - To the Distant Sky,Drift Stage - Zadok,25,26,51,1,Drift Stage - Zadok,,Drift Stage - Zadok,,Drift Stage - Zadok,Skygunner - To the Distant Sky,Drift Stage - Zadok,Skygunner - To the Distant Sky,,Drift Stage - Zadok,Drift Stage - Zadok,,,Drift Stage - Zadok,,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,,,Drift Stage - Zadok,Skygunner - To the Distant Sky,Drift Stage - Zadok,Drift Stage - Zadok,Skygunner - To the Distant Sky,Drift Stage - Zadok,Drift Stage - Zadok,Drift Stage - Zadok,Skygunner - To the Distant Sky,,Skygunner - To the Distant Sky,Drift Stage - Zadok,,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,,,Drift Stage - Zadok,Skygunner - To the Distant Sky,Drift Stage - Zadok,,Skygunner - To the Distant Sky,Drift Stage - Zadok,Drift Stage - Zadok,Skygunner - To the Distant Sky,,Drift Stage - Zadok,Skygunner - To the Distant Sky,Drift Stage - Zadok,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,,Skygunner - To the Distant Sky,Drift Stage - Zadok,Drift Stage - Zadok,,,,,Drift Stage - Zadok,Drift Stage - Zadok,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,Drift Stage - Zadok,Skygunner - To the Distant Sky,,,Skygunner - To the Distant Sky,Drift Stage - Zadok,Drift Stage - Zadok,,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,Skygunner - To the Distant Sky,,
54,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,22,24,46,2,GITADORA OverDrive - Douwa Kairou,,Tales of Zestiria - Flaming Bonds are Being Tested,,,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,,GITADORA OverDrive - Douwa Kairou,,,Tales of Zestiria - Flaming Bonds are Being Tested,,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,,Tales of Zestiria - Flaming Bonds are Being Tested,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,GITADORA OverDrive - Douwa Kairou,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,,GITADORA OverDrive - Douwa Kairou,GITADORA OverDrive - Douwa Kairou,,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,,,,GITADORA OverDrive - Douwa Kairou,,,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,GITADORA OverDrive - Douwa Kairou,GITADORA OverDrive - Douwa Kairou,,,Tales of Zestiria - Flaming Bonds are Being Tested,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,,Tales of Zestiria - Flaming Bonds are Being Tested,GITADORA OverDrive - Douwa Kairou,Tales of Zestiria - Flaming Bonds are Being Tested,,
55,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,25,24,49,1,Lanota - Frey's Philosophy,,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,,,Sonic Adventure DX - Theme of E-102 Gamma,,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,,,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,,,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,,,Sonic Adventure DX - Theme of E-102 Gamma,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,,,Lanota - Frey's Philosophy,,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,Lanota - Frey's Philosophy,Sonic Adventure DX - Theme of E-102 Gamma,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,,Sonic Adventure DX - Theme of E-102 Gamma,Lanota - Frey's Philosophy,,Sonic Adventure DX - Theme of E-102 Gamma,Sonic Adventure DX - Theme of E-102 Gamma,Sonic Adventure DX - Theme of E-102 Gamma,,
