DireKrow
Pop’n Music 18 - Kurokami Midareshi Shura to Narite
SOUND VOLTEX VIVID WAVE - Sudden Visitor
Aurora Memoria - Classroom
Granado Espada - Laguerra del Mundo
Super Smash Bros. Ultimate - Megalovania
Trails in the Sky SC - The Merciless Savior
Cloudbuilt: Defiance - Monolith
13 Sentinels: Aegis Rim - -(Isoleucine)-
The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky
Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato
Chrono Trigger - Undersea Palace
Final Fantasy IV - Battle 2
Persona 3 - Memories of You
Blue Reflection - DNF FW15C (ALL PHASE MIX)
Granblue Fantasy Versus - Butterfly Girl (VS Narmaya)
Super Smash Bros. Ultimate - Dark Man Stage
7th Dragon III Code: VFD - ChRoNiClESeVeN
"Atelier Shallie - Flying Clouds, Drifting Haze"
"League of Legends - Taliyah, the Stoneweaver"
Taiko no Tatsujin 7 - Burning Force Medley
Undertale - ASGORE
Ragnarok Tactics - Zeal Continent
Eschatos - Massive X
Atelier Rorona Plus - Flash Frost
Fire Emblem: Awakening - Don't speak her name!
Pokemon Super Mystery Dungeon - Second Dark Matter Battle
Shovel Knight - Strike the Earth
Mushihimesama Futari - Shinjugamori Rebel Army
Granblue Fantasy Versus - Licht (VS Ferry)
Terraria Calamity Mod - Servants of the Scourge
VVVVVV - Pressure Cooker
Touhou 10: Mountain of Faith. - The Venerable Ancient Battlefield ~ Suwa Foughten Field
Deemo - Evolution Era
Atelier Rorona Plus: The Alchemist of Arland - Akeldama
Celeste - Celestial Resort (Good Karma Mix)
Rivals of Aether - Luna Ascension EX (aka OST 7)
Pokemon Diamond/Pearl/Platinum - Battle! Uxie/Mesprit/Azelf
Yu-Gi-Oh! Forbidden Memories - Seto Kaiba
Granblue Fantasy - New World Order
Fire Emblem: Three Houses - The Apex of the World (Rain)
GTI Club: Supermini Festa! - Arcade Menu
Beatmania IIDX 21 Spada - Dark Legacy
Ar nosurge - Ar-ciel Ar-manaf
Sword Art Online: Fatal Bullet - Dungeon - Geofront 4
GITADORA OverDrive - Douwa Kairou
La-Mulana - Giant's Cry
Mystic Square - The Grimoire of Alice
Ar Nosurge - Class::EXSPHERE_NOSURGE;
Pokemon Super Mystery Dungeon - Fire Island Volcano
Top Gear Rally - Main Menu
Steins;Gate - Skyclad Observer
Mamorukun Curse! - YO-KAI Disco (Hell's Entrance World)
NieR: Automata - Birth of a Wish (Become as Gods)
Granado Espada - Laguerra del Mundo
Atelier Ayesha: The Alchemist of Dusk - MARIA
The Caligula Effect - Distorted Happiness
Undertale - Megalovania [2]
Undertale - Hopes and Dreams
Castlevania Chronicles - Thrashard in the Cave (Arrange Ver.)
Ao no Kiseki Evolution - Seize the Truth!
Ao no Kiseki Evolution - Silence in the Sunlight Filtering Through Trees
Ace Combat Infinity - Blue Skies (Infinity Remix)
"Atelier Shallie - Flying Clouds, Drifting Haze"
Fire Emblem Fates - Desire Below (Flow)
pop'n Music Usagi to neko to shounen no yume - HYMN
Umineko no Naku Koro ni 1 - goldenslaughterer
Sole - Memories Rushing By
Kaze no Notam - Discovery
Terraria Calamity Mod - Servants of the Scourge
Halo 3 - One Final Effort
Deltarune - Rude Buster
Granblue Fantasy - New World Order
