Votes,Unique,Game,Song,Link,-hotdogturtle--,Akkrillic,Arti,azuarc,Baconus_Yum,banshiryuu,Bluenugget64,Bossman_Coolguy,cakophon,Chuck_Tingle,Collen,DireKrow,dowolf,DragonImps,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,missadelyn,MoonRunes,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Raetsel_Lapin,rwlh,RySenkari,sergiocornaga,Snake5555555555,tazzyboyishere,Team Rocket Elite,tennisboy213,TheArkOfTurus,Tked,Toxtricity,trdl23,TsunamiXXVIII,UF8,xarlable,xp1337,ZelRaat,Zigzagoon,Zyxyz0
4,3,Ace Combat Infinity,Blue Skies (Infinity Remix),https://www.youtube.com/watch?v=BRosMyUkQ3g,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Overtake,Make a Wish,https://www.youtube.com/watch?v=NkrUFxePuWw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,Terraria Calamity,Scourge of the Universe,https://youtu.be/-Syn1mJVt7U,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,Pokemon Mystery Dungeon: Rescue Team DX,Sky Tower,https://www.youtube.com/watch?v=ODQ767-hixA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Touhou 8: Imperishable Night,"Reach for the Moon, Immortal Smoke",https://www.youtube.com/watch?v=ETTk83qis0w,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
4,3,Kirby 64: The Crystal Shards,Miracle Matter,https://www.youtube.com/watch?v=3g-NIYYGEEk,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Kaze no Notam,Discovery,https://www.youtube.com/watch?v=rmrCMF2B_-c,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Shin Megami Tensei IV,B2 Battle,https://youtu.be/A6cSbof7Pik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,AI: The Somnium Files,Confession -kokkAI-,https://www.youtube.com/watch?v=XPT55-5AMvw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Atelier Ayesha: The Alchemist of Dusk,Stargazer,https://www.youtube.com/watch?v=QVsDeBzpLAo,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Judgment,Darkness,https://www.youtube.com/watch?v=0kvD3vAekLk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Judgment,Penumbra,https://www.youtube.com/watch?v=gcM-v-o4N4o,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Love Live! School Idol Festival All-Stars,"KOKORO Magic ""A to Z""",https://www.youtube.com/watch?v=x5Qp7RYCoDM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,428 Shibuya Scramble,Main Theme,https://www.youtube.com/watch?v=lKQIRaAsFMw,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Atelier Ayesha,MARIA,https://www.youtube.com/watch?v=EVcc16o0SaY,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,Guild Wars 2,Fear Not This Night,https://www.youtube.com/watch?v=qOMQxVtbkik,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Yakuza 0,Pledge of Demon,https://www.youtube.com/watch?v=JHQa1SA3EtI,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,Yakuza 0,Two Dragons,https://www.youtube.com/watch?v=ExPW6UVkvkE,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,3,Killer7,Rave On,https://youtu.be/AJO8uo3UMko,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,Gotta Protectors,Everyone Run! (FM Ver.),https://www.youtube.com/watch?v=AmCmtt-pxtk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Gotta Protectors,Retro-Nitro-Girl (FM Ver.),https://www.youtube.com/watch?v=52uZnWb9UpI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,Atelier Escha & Logy: Alchemists of the Dusk Sky,Sky of Twilight,https://www.youtube.com/watch?v=2Hm_jcpTycI,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Fate/Grand Order,Grand Battle,https://www.youtube.com/watch?v=6Vq8d1bwrYg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,Super Smash Bros. Ultimate,Snowman,https://www.youtube.com/watch?v=Iwc6jYsc4Ho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Chaos;Head,Desire Blue Sky,https://www.youtube.com/watch?v=3on3qna4Fa0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
