DireKrow
TRianThology - over-nove
Bloodstained: Ritual of the Night - Voyage of Promise
Mad Rat Dead - Breath of Forest
LittleBigPlanet Vita - The Big Ride
CrossCode: A New Home - One Last Trial
Ys IX: Monstrum Nox - Desert After Tears
Ys: Memories of Celceta - Ancient Land
Pyre - Bound Together
Skullgirls: Encore - Unfinished Business
Killer Instinct (2013) - I'm Back (to Rise!)
Ar nosurge: Ode to an Unborn Star - Mikazuchi
Shovel Knight - High Above the Land
Pokémon Mystery Dungeon: Explorers of Sky - Vast Ice Mountain Peak
beatmania IIDX 12 HAPPY SKY - Xepher
The World Ends With You - Calling
Library of Ruina - String Theocracy
Ace Attorney Investigations: Miles Edgeworth - Pursuit ~ Lying Coldly
REFLEC BEAT limelight - IMAGE -MATERIAL- <Version 0>
Paradise Killer - Paradise (Stay Forever)
Ys VIII: Lacrimosa of Dana - Overcome the Rocky Path
Ginga Force - Gallant Gunshot
Snatchers of Raillore - Duality
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Hollow Knight - Greenpath
OMORI - World's End Valentine
Library of Ruina - Iron Lotus
Murasaki Tsurugi - Speartip of Judgment
Willy Wombat - Tron's Castle
Atelier Escha & Logy: Alchemists of the Dusk Sky - Sky of Twilight
NieR: Automata - A Beautiful Song
Mad Rat Dead - Passion in Blue
Secret of Mana (PS4) - Danger (ARM version)
Ace Combat 7 - 444
Asa kara Zusshiri Milkpot SPECIAL - Gaze at my Sour Cream Burrito
beatmania IIDX 16 EMPRESS - Bahram Attack -Nekomata Master Remix-
Phigros - Wavetapper
The Legend of Heroes: Trails in the Sky SC - Liber Ark
Border Break: Union - Dyed Gradient (Murago)
Fire Emblem Awakening - Conquest
Dragon’s Dogma - Into Free -Dangan-
Pokémon Sun and Moon - Vast Poni Canyon
REFLEC BEAT The Reflesia of Eternity - Towards the Horizon
Nex Machina - Cosmic Hero
Street Fighter EX Plus α - Strange Sunset
Girls' Frontline - Connexion
Raging Loop - Final Wishes of the Mist
Pokémon Mystery Dungeon: Explorers of Sky - Dialga’s Fight to the Finish!
"Bravely Default II - Spurred into Flight, Drenched and Fallen - The Night Rises"
CrossCode - S-Rank Battle
Chaos Code - Eleganza
Ys Origin - Genesis Beyond the Beginning
Seraphic Blue - Legacy
Taiko no Tatsujin: Murasaki Ver. - Mahoujin -Summon Delta-
Blue Reflection - DNF FW15C (ALL PHASE MIX)
Atelier Meruru: The Apprentice of Arland - Nefertiti (Ver.MMXI)
Rose Gun Days - linkage-alter
Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness
Risk of Rain 2 - The Rain Formerly Known As Purple
Mad Rat Dead - Heartless Being
Unreal Tournament - Foregone Destruction
GITADORA - Nekozamurai no Gyakushuu
One Step From Eden - Fairfrozen: Selicy's Theme
Mekazoo - Avian Animosity
Snatcher (PC Engine CD) - One Night in Neo Kobe City
Xenoblade Chronicles: Definitive Edition - Fogbeasts
Ys IX: Monstrum Nox - Glessing Way!
God Eater 2 - The Butterfly's Temptation
Cladun: This is an RPG - The Explosion
VVVVVV - Pressure Cooker
No More Heroes 2: Desperate Struggle - Subuta.1
Etrian Odyssey III: The Drowned City - Unrest - The End of the Raging Waves
Arknights - Stay Gold
Mad Rat Dead - Neuchatel
No More Heroes 2: Desperate Struggle - It's Kill or Be Killed ~ Destroy Resort
Pokémon Super Mystery Dungeon - Gentle Slope Cave
Nukige Mitai na Shima ni Sunderu Watashi wa Dou Surya Ii Desu ka? 2 - BWLAUTE BEIRRD
Atelier Shallie: Alchemists of the Dusk Sea - Octopunch
Fire Emblem: Three Houses - Apex of the World (Rain)
Raiden V - Unknown Pollution
Fire Emblem Awakening - Id (Purpose)
The Legend of Heroes: Trails in the Sky SC - Fateful Confrontation
War of Brains - Immanence
100% Orange Juice - Prairie4 (Theme of Alicianrone)
Eschatos - POINT OF NO RETURN
Alan Wake’s American Nightmare - Balance Slays the Demon
Final Fantasy XIV: Shadowbringers - Return to Oblivion
Chrono Trigger - Chrono Trigger
Gahkthun of the Golden Lightning - Tonitrus
Timespinner - Pioneer's Horizon
Ys III: Wanderers From Ys (PC Engine CD) - Valestein Castle
Teen Titans Go!: Stellar Showdown - Space Mode
NieR: Automata - City Ruins (Rays of Light)
Mad Rat Dead - Breath of Forest
CrossCode: A New Home - One Last Trial
Pyre - Bound Together
This is the Police 2 - Värdelös
Ar nosurge: Ode to an Unborn Star - Mikazuchi
Pokémon Mystery Dungeon: Explorers of Sky - Vast Ice Mountain Peak
Fire Emblem: Three Houses - The Shackled Wolves (Rain)
REFLEC BEAT limelight - IMAGE -MATERIAL- <Version 0>
Oninaki - Battle -Threat-
Snatchers of Raillore - Duality
Umineko no Naku Koro ni Chiru - resurrectedreplayer
OMORI - World's End Valentine
Murasaki Tsurugi - Speartip of Judgment
NieR: Automata - A Beautiful Song
Mad Rat Dead - Passion in Blue
Ace Combat 7 - 444
Phigros - Wavetapper
Border Break: Union - Dyed Gradient (Murago)
Dragon’s Dogma - Into Free -Dangan-
Pokémon Sun and Moon - Vast Poni Canyon
Nex Machina - Cosmic Hero
"The Legend of Heroes: Trails in the Sky SC - Central Tower ""Axis Pillar"""
Pokémon Mystery Dungeon: Explorers of Sky - Dialga’s Fight to the Finish!
Chaos Code - Eleganza
Ys Origin - Genesis Beyond the Beginning
Blue Reflection - DNF FW15C (ALL PHASE MIX)
Rose Gun Days - linkage-alter
Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness
Mad Rat Dead - Heartless Being
One Step From Eden - Fairfrozen: Selicy's Theme
Snatcher (PC Engine CD) - One Night in Neo Kobe City
Xenoblade Chronicles: Definitive Edition - Fogbeasts
God Eater 2 - The Butterfly's Temptation
VVVVVV - Pressure Cooker
Etrian Odyssey III: The Drowned City - Unrest - The End of the Raging Waves
The Legend of Heroes: Trails in the Sky the 3rd - Dreamy and Boisterous Holy Land
Pokémon Super Mystery Dungeon - Gentle Slope Cave
Fire Emblem: Three Houses - Apex of the World (Rain)
Raiden V - Unknown Pollution
War of Brains - Immanence
Eschatos - POINT OF NO RETURN
Final Fantasy XIV: Shadowbringers - Return to Oblivion
Chrono Trigger - Chrono Trigger
Ys III: Wanderers From Ys (PC Engine CD) - Valestein Castle
Aurora Memoria - Philosophical Data Session: 2093 - DigiFamily
Mad Rat Dead - Breath of Forest
Dariusburst Another Chronicle EX - Catabolism
Pokémon Mystery Dungeon: Explorers of Sky - Vast Ice Mountain Peak
REFLEC BEAT limelight - IMAGE -MATERIAL- <Version 0>
Paradise Killer - Paradise (Stay Forever)
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Murasaki Tsurugi - Speartip of Judgment
Secret of Mana (PS4) - Danger (ARM version)
The Legend of Heroes: Trails in the Sky SC - Liber Ark
Pokémon Sun and Moon - Vast Poni Canyon
Nex Machina - Cosmic Hero
Chaos Code - Eleganza
Ys Origin - Genesis Beyond the Beginning
Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness
One Step From Eden - Fairfrozen: Selicy's Theme
Xenoblade Chronicles: Definitive Edition - Fogbeasts
VVVVVV - Pressure Cooker
The Legend of Heroes: Trails in the Sky the 3rd - Dreamy and Boisterous Holy Land
Atelier Shallie: Alchemists of the Dusk Sea - Octopunch
War of Brains - Immanence
Eschatos - POINT OF NO RETURN
Timespinner - Pioneer's Horizon
Mad Rat Dead - Breath of Forest
Pokémon Mystery Dungeon: Explorers of Sky - Vast Ice Mountain Peak
Paradise Killer - Paradise (Stay Forever)
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Secret of Mana (PS4) - Danger (ARM version)
Dragon’s Dogma - Into Free -Dangan-
Ys Origin - Genesis Beyond the Beginning
Gurumin: A Monstrous Adventure - Soaring Through Azure Sadness
Xenoblade Chronicles: Definitive Edition - Fogbeasts
The Legend of Heroes: Trails in the Sky the 3rd - Dreamy and Boisterous Holy Land
Eschatos - POINT OF NO RETURN
Timespinner - Pioneer's Horizon
Paradise Killer - Paradise (Stay Forever)
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Dragon’s Dogma - Into Free -Dangan-
Xenoblade Chronicles: Definitive Edition - Fogbeasts
The Legend of Heroes: Trails in the Sky the 3rd - Dreamy and Boisterous Holy Land
Paradise Killer - Paradise (Stay Forever)
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Xenoblade Chronicles: Definitive Edition - Fogbeasts
Paradise Killer - Paradise (Stay Forever)
Umineko no Naku Koro ni Chiru - resurrectedreplayer
Idola Phantasy Star Saga - Endeavour
War of Brains - Immanence
Idola Phantasy Star Saga - Endeavour
Xenoblade Chronicles: Definitive Edition - Fogbeasts
